route_id,route_name,year,month,day,trips,estimated
system,All Routes (System Total),2019,1,,246549,false
system,All Routes (System Total),2019,2,,215669,false
system,All Routes (System Total),2019,3,,255145,false
system,All Routes (System Total),2019,4,,290589,false
system,All Routes (System Total),2019,5,,285332,false
system,All Routes (System Total),2019,6,,278260,false
system,All Routes (System Total),2019,7,,290204,false
system,All Routes (System Total),2019,8,,299048,false
system,All Routes (System Total),2019,9,,286399,false
system,All Routes (System Total),2019,10,,306193,false
system,All Routes (System Total),2019,11,,261682,false
system,All Routes (System Total),2019,12,,252775,false
system,All Routes (System Total),2020,1,,253088,false
system,All Routes (System Total),2020,2,,260753,false
system,All Routes (System Total),2020,3,,215274,false
system,All Routes (System Total),2020,4,,163546,false
system,All Routes (System Total),2020,5,,170120,false
system,All Routes (System Total),2020,6,,161694,false
system,All Routes (System Total),2020,7,,145405,false
system,All Routes (System Total),2020,8,,152432,false
system,All Routes (System Total),2020,9,,150009,false
system,All Routes (System Total),2020,10,,160127,false
system,All Routes (System Total),2020,11,,142950,false
system,All Routes (System Total),2020,12,,151954,false
system,All Routes (System Total),2021,1,,133220,false
system,All Routes (System Total),2021,2,,128071,false
system,All Routes (System Total),2021,3,,175627,false
system,All Routes (System Total),2021,4,,174555,false
system,All Routes (System Total),2021,5,,168486,false
system,All Routes (System Total),2021,6,,175991,false
system,All Routes (System Total),2021,7,,179249,false
system,All Routes (System Total),2021,8,,191143,false
system,All Routes (System Total),2021,9,,197675,false
system,All Routes (System Total),2021,10,,197284,false
system,All Routes (System Total),2021,11,,188131,false
system,All Routes (System Total),2021,12,,174789,false
system,All Routes (System Total),2022,1,,170045,false
system,All Routes (System Total),2022,2,,174838,false
system,All Routes (System Total),2022,3,,207039,false
system,All Routes (System Total),2022,4,,198204,false
system,All Routes (System Total),2022,5,,214531,false
system,All Routes (System Total),2022,6,,225706,false
system,All Routes (System Total),2022,7,,220403,false
system,All Routes (System Total),2022,8,,250125,false
system,All Routes (System Total),2022,9,,253824,false
system,All Routes (System Total),2022,10,,271732,false
system,All Routes (System Total),2022,11,,242140,false
system,All Routes (System Total),2022,12,,205436,false
system,All Routes (System Total),2023,1,,221680,false
system,All Routes (System Total),2023,2,,216605,false
system,All Routes (System Total),2023,3,,265168,false
system,All Routes (System Total),2023,4,,252984,false
system,All Routes (System Total),2023,5,,285001,false
system,All Routes (System Total),2023,6,,266103,false
system,All Routes (System Total),2023,7,,238136,false
system,All Routes (System Total),2023,8,,310563,false
system,All Routes (System Total),2023,9,,302739,false
system,All Routes (System Total),2023,10,,320112,false
system,All Routes (System Total),2023,11,,287233,false
system,All Routes (System Total),2023,12,,259495,false
system,All Routes (System Total),2024,1,,215866,false
system,All Routes (System Total),2024,2,,283842,false
system,All Routes (System Total),2024,3,,270264,false
system,All Routes (System Total),2024,4,,310200,false
system,All Routes (System Total),2024,5,,305488,false
system,All Routes (System Total),2024,6,,266247,false
system,All Routes (System Total),2024,7,,264906,false
system,All Routes (System Total),2024,8,,291380,false
system,All Routes (System Total),2024,9,,305514,false
system,All Routes (System Total),2024,10,,335418,false
system,All Routes (System Total),2024,11,,280562,false
system,All Routes (System Total),2024,12,,256030,false
system,All Routes (System Total),2025,1,,262067,false
system,All Routes (System Total),2025,2,,241867,false
system,All Routes (System Total),2025,3,,282490,false
system,All Routes (System Total),2025,4,,315926,false
system,All Routes (System Total),2025,5,,313787,false
system,All Routes (System Total),2025,6,,285685,false
system,All Routes (System Total),2025,7,,271089,false
system,All Routes (System Total),2025,8,,296700,false
system,All Routes (System Total),2025,9,,329072,false
system,All Routes (System Total),2025,10,,349607,false
system,All Routes (System Total),2025,11,,286209,false
system,All Routes (System Total),2025,12,,277538,false
system,All Routes (System Total),2026,1,,268640,false
system,All Routes (System Total),2026,2,,277303,false
system,All Routes (System Total),2026,3,,307953,false
system,All Routes (System Total),2026,4,,315938,false
system,All Routes (System Total),2026,5,,322056,false
system,All Routes (System Total),2026,6,,319644,false
system,All Routes (System Total),2026,7,,287348,false
