route_id,route_name,year,month,day,trips,estimated,weekday_trips,saturday_trips,sunday_trips
orbt,ORBT,2026,1,,45700,true,37900,4900,2900
3,Route 3,2026,1,,18500,true,15800,1600,1100
4,Route 4,2026,1,,27000,true,23100,2300,1600
5,Route 5,2026,1,,7300,true,6600,700,0
8,Route 8,2026,1,,4300,true,3800,500,0
11,Route 11,2026,1,,8800,true,7700,800,300
13,Route 13,2026,1,,13000,true,10900,1300,800
14,Route 14,2026,1,,6900,true,6200,700,0
15,Route 15,2026,1,,10700,true,8500,1300,900
18,Route 18,2026,1,,48800,true,40700,4800,3300
24,Route 24,2026,1,,30000,true,25900,2500,1600
26,Route 26,2026,1,,4700,true,4300,200,200
30,Route 30,2026,1,,12600,true,10400,1300,900
35,Route 35,2026,1,,6400,true,5700,400,300
36,Route 36,2026,1,,3000,true,2600,200,200
41,Route 41,2026,1,,4900,true,4900,0,0
43,Route 43,2026,1,,6100,true,5300,800,0
55,Route 55,2026,1,,4100,true,3700,400,0
92,Route 92,2026,1,,200,true,200,0,0
93,Route 93,2026,1,,300,true,300,0,0
94,Route 94,2026,1,,500,true,500,0,0
95,Route 95,2026,1,,500,true,500,0,0
97,Route 97,2026,1,,1000,true,1000,0,0
106,Route 106,2026,1,,2300,true,2300,0,0
120,Route 120,2026,1,,400,true,400,0,0
200,Route 200,2026,1,,700,true,700,0,0
orbt,ORBT,2026,2,,47900,true,39200,4900,3800
3,Route 3,2026,2,,18700,true,16000,1400,1300
4,Route 4,2026,2,,28000,true,23700,2500,1800
5,Route 5,2026,2,,7000,true,6400,600,0
8,Route 8,2026,2,,4400,true,3900,500,0
11,Route 11,2026,2,,8800,true,7600,900,300
13,Route 13,2026,2,,13000,true,10900,1200,900
14,Route 14,2026,2,,7200,true,6400,800,0
15,Route 15,2026,2,,12000,true,9800,1200,1000
18,Route 18,2026,2,,49200,true,41700,4300,3200
24,Route 24,2026,2,,31000,true,26400,2800,1800
26,Route 26,2026,2,,4900,true,4500,200,200
30,Route 30,2026,2,,13100,true,10700,1400,1000
35,Route 35,2026,2,,6500,true,5800,400,300
36,Route 36,2026,2,,2900,true,2500,200,200
41,Route 41,2026,2,,5600,true,5600,0,0
43,Route 43,2026,2,,6700,true,5800,900,0
55,Route 55,2026,2,,4200,true,3800,400,0
92,Route 92,2026,2,,400,true,400,0,0
93,Route 93,2026,2,,300,true,300,0,0
94,Route 94,2026,2,,500,true,500,0,0
95,Route 95,2026,2,,400,true,400,0,0
97,Route 97,2026,2,,900,true,900,0,0
106,Route 106,2026,2,,2100,true,2100,0,0
120,Route 120,2026,2,,400,true,400,0,0
200,Route 200,2026,2,,700,true,700,0,0
orbt,ORBT,2026,3,,55600,true,45900,5400,4300
3,Route 3,2026,3,,19200,true,16400,1400,1400
4,Route 4,2026,3,,31600,true,26700,2700,2200
5,Route 5,2026,3,,6900,true,6300,600,0
8,Route 8,2026,3,,4700,true,4200,500,0
11,Route 11,2026,3,,10100,true,8600,1000,500
13,Route 13,2026,3,,14700,true,12100,1500,1100
14,Route 14,2026,3,,7900,true,7100,800,0
15,Route 15,2026,3,,12100,true,9900,1100,1100
18,Route 18,2026,3,,56200,true,47000,5100,4100
24,Route 24,2026,3,,34100,true,29300,2700,2100
26,Route 26,2026,3,,5300,true,4900,200,200
30,Route 30,2026,3,,14800,true,11900,1500,1400
35,Route 35,2026,3,,6600,true,5800,400,400
36,Route 36,2026,3,,3100,true,2800,200,100
41,Route 41,2026,3,,6200,true,6200,0,0
43,Route 43,2026,3,,7400,true,6500,900,0
55,Route 55,2026,3,,4400,true,4100,300,0
92,Route 92,2026,3,,500,true,500,0,0
93,Route 93,2026,3,,400,true,400,0,0
94,Route 94,2026,3,,600,true,600,0,0
95,Route 95,2026,3,,400,true,400,0,0
97,Route 97,2026,3,,900,true,900,0,0
106,Route 106,2026,3,,2500,true,2500,0,0
120,Route 120,2026,3,,600,true,600,0,0
200,Route 200,2026,3,,800,true,800,0,0
orbt,ORBT,2026,4,,57200,true,47400,5500,4300
3,Route 3,2026,4,,19300,true,16600,1400,1300
4,Route 4,2026,4,,32700,true,28200,2500,2000
5,Route 5,2026,4,,7600,true,7000,600,0
8,Route 8,2026,4,,4700,true,4300,400,0
11,Route 11,2026,4,,10500,true,8700,1200,600
13,Route 13,2026,4,,15300,true,13100,1200,1000
14,Route 14,2026,4,,8800,true,8000,800,0
